DataExtractDate,ReportPeriod,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Scheduled,Departure,Domestic,2249
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Scheduled,Departure,International,30
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Charter,Arrival,Domestic,6
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Charter,Departure,Domestic,6
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Commuter,Arrival,Domestic,119
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Commuter,Departure,Domestic,119
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Scheduled,Arrival,Domestic,2251
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Scheduled,Arrival,International,27
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Scheduled,Departure,Domestic,2246
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Scheduled,Departure,International,27
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Charter,Arrival,Domestic,13
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Charter,Departure,Domestic,14
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Commuter,Arrival,Domestic,122
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Commuter,Departure,Domestic,122
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Scheduled,Arrival,Domestic,2327
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Scheduled,Arrival,International,31
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Scheduled,Departure,Domestic,2318
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Scheduled,Departure,International,31
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Charter,Arrival,Domestic,11
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Charter,Departure,Domestic,9
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Commuter,Arrival,Domestic,262
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Commuter,Departure,Domestic,262
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Scheduled,Arrival,Domestic,2263
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Scheduled,Arrival,International,31
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Scheduled,Departure,Domestic,2251
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Scheduled,Departure,International,31
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Charter,Arrival,Domestic,4
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Charter,Arrival,International,1
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Charter,Departure,Domestic,6
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Commuter,Arrival,Domestic,210
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Commuter,Departure,Domestic,210
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Scheduled,Arrival,Domestic,2140
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Scheduled,Arrival,International,30
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Scheduled,Departure,Domestic,2138
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Scheduled,Departure,International,30
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Charter,Arrival,Domestic,9
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Charter,Arrival,International,1
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Charter,Departure,Domestic,13
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Charter,Departure,International,1
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Commuter,Arrival,Domestic,242
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Commuter,Departure,Domestic,242
