DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Arrival,Domestic,Mail,608
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Arrival,International,Freight,1398
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Departure,Domestic,Freight,15802
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Departure,Domestic,Mail,715
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Departure,International,Freight,865
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Arrival,Domestic,Freight,13796
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Arrival,Domestic,Mail,696
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Arrival,International,Freight,1519
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Departure,Domestic,Freight,15275
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Departure,Domestic,Mail,680
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Departure,International,Freight,1032
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Arrival,Domestic,Freight,13554
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Arrival,Domestic,Mail,614
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Arrival,International,Freight,1403
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Departure,Domestic,Freight,15607
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Departure,Domestic,Mail,690
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Departure,International,Freight,994
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Arrival,Domestic,Freight,14056
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Arrival,Domestic,Mail,538
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Arrival,International,Freight,1358
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Departure,Domestic,Freight,14134
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Departure,Domestic,Mail,615
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Departure,International,Freight,889
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Arrival,Domestic,Freight,7507
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Arrival,Domestic,Mail,882
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Arrival,International,Freight,1406
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Departure,Domestic,Freight,15908
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Departure,Domestic,Mail,694
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Departure,International,Freight,985
05/01/2014 12:00:00 AM,11/01/2010 12:00:00 AM,Arrival,Domestic,Freight,14103
05/01/2014 12:00:00 AM,11/01/2010 12:00:00 AM,Arrival,Domestic,Mail,721
05/01/2014 12:00:00 AM,11/01/2010 12:00:00 AM,Arrival,International,Freight,1137
05/01/2014 12:00:00 AM,11/01/2010 12:00:00 AM,Departure,Domestic,Freight,15127
05/01/2014 12:00:00 AM,11/01/2010 12:00:00 AM,Departure,Domestic,Mail,675
05/01/2014 12:00:00 AM,11/01/2010 12:00:00 AM,Departure,International,Freight,857
05/01/2014 12:00:00 AM,12/01/2010 12:00:00 AM,Arrival,Domestic,Freight,21517
05/01/2014 12:00:00 AM,12/01/2010 12:00:00 AM,Arrival,Domestic,Mail,767
05/01/2014 12:00:00 AM,12/01/2010 12:00:00 AM,Departure,Domestic,Freight,18378
05/01/2014 12:00:00 AM,12/01/2010 12:00:00 AM,Departure,Domestic,Mail,743
05/01/2014 12:00:00 AM,12/01/2010 12:00:00 AM,Departure,International,Freight,1079
05/01/2014 12:00:00 AM,01/01/2011 12:00:00 AM,Arrival,Domestic,Freight,12984
05/01/2014 12:00:00 AM,01/01/2011 12:00:00 AM,Arrival,Domestic,Mail,715
05/01/2014 12:00:00 AM,01/01/2011 12:00:00 AM,Arrival,International,Freight,1150
05/01/2014 12:00:00 AM,01/01/2011 12:00:00 AM,Departure,Domestic,Freight,13262
05/01/2014 12:00:00 AM,01/01/2011 12:00:00 AM,Departure,Domestic,Mail,737
05/01/2014 12:00:00 AM,01/01/2011 12:00:00 AM,Departure,International,Freight,80
05/01/2014 12:00:00 AM,02/01/2011 12:00:00 AM,Arrival,Domestic,Freight,12175
05/01/2014 12:00:00 AM,02/01/2011 12:00:00 AM,Arrival,Domestic,Mail,770
05/01/2014 12:00:00 AM,02/01/2011 12:00:00 AM,Arrival,International,Freight,759
05/01/2014 12:00:00 AM,02/01/2011 12:00:00 AM,Departure,Domestic,Freight,13242
05/01/2014 12:00:00 AM,02/01/2011 12:00:00 AM,Departure,Domestic,Mail,516
05/01/2014 12:00:00 AM,02/01/2011 12:00:00 AM,Departure,International,Freight,757
05/01/2014 12:00:00 AM,03/01/2011 12:00:00 AM,Arrival,Domestic,Freight,15599
05/01/2014 12:00:00 AM,03/01/2011 12:00:00 AM,Arrival,Domestic,Mail,835
05/01/2014 12:00:00 AM,03/01/2011 12:00:00 AM,Arrival,International,Freight,1623
05/01/2014 12:00:00 AM,03/01/2011 12:00:00 AM,Departure,Domestic,Freight,16485
05/01/2014 12:00:00 AM,03/01/2011 12:00:00 AM,Departure,Domestic,Mail,642
05/01/2014 12:00:00 AM,03/01/2011 12:00:00 AM,Departure,International,Freight,1073
05/01/2014 12:00:00 AM,04/01/2011 12:00:00 AM,Arrival,Domestic,Freight,13492
05/01/2014 12:00:00 AM,04/01/2011 12:00:00 AM,Arrival,Domestic,Mail,783
05/01/2014 12:00:00 AM,04/01/2011 12:00:00 AM,Arrival,International,Freight,1579
05/01/2014 12:00:00 AM,04/01/2011 12:00:00 AM,Departure,Domestic,Freight,14885
