DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Misc. Terminal,Departure,International,379
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Terminal 2,Arrival,Domestic,57578
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Terminal 2,Departure,Domestic,57741
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Terminal 2,Departure,International,2960
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Terminal 4,Arrival,Domestic,146817
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Terminal 4,Departure,Domestic,147782
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,International Terminal,Arrival,International,3246
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Misc. Terminal,Arrival,Domestic,147
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Misc. Terminal,Departure,Domestic,245
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Terminal 2,Arrival,Domestic,53328
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Terminal 2,Departure,Domestic,55676
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Terminal 2,Departure,International,3156
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Terminal 4,Arrival,Domestic,153304
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Terminal 4,Departure,Domestic,155052
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,International Terminal,Arrival,International,2688
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Misc. Terminal,Departure,Domestic,210
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Terminal 2,Arrival,Domestic,55101
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Terminal 2,Departure,Domestic,56118
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Terminal 2,Departure,International,2736
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Terminal 4,Arrival,Domestic,151460
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Terminal 4,Departure,Domestic,149571
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,International Terminal,Arrival,International,2126
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Misc. Terminal,Arrival,Domestic,11
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Misc. Terminal,Departure,Domestic,139
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Terminal 2,Arrival,Domestic,60700
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Terminal 2,Departure,Domestic,62346
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Terminal 2,Departure,International,2952
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Terminal 4,Arrival,Domestic,151188
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Terminal 4,Departure,Domestic,151937
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,International Terminal,Arrival,International,3326
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Misc. Terminal,Arrival,Domestic,400
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Misc. Terminal,Departure,Domestic,414
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Terminal 2,Arrival,Domestic,63462
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Terminal 2,Departure,Domestic,64956
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Terminal 2,Departure,International,3655
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Terminal 4,Arrival,Domestic,147711
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Terminal 4,Departure,Domestic,148392
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,International Terminal,Arrival,International,3555
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Misc. Terminal,Arrival,Domestic,248
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Misc. Terminal,Departure,Domestic,179
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Terminal 2,Arrival,Domestic,70023
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Terminal 2,Departure,Domestic,69993
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Terminal 2,Departure,International,3054
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Terminal 4,Arrival,Domestic,143375
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Terminal 4,Departure,Domestic,141691
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Misc. Terminal,Arrival,Domestic,100
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Misc. Terminal,Arrival,International,64
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Misc. Terminal,Departure,Domestic,164
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Terminal 2,Arrival,Domestic,56541
