DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Arrival,Domestic,Commuter,166309
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1657818
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Arrival,International,Charter,310
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Arrival,International,Commuter,1206
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Arrival,International,Scheduled Carriers,656826
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Departure,Domestic,Charter,919
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Departure,Domestic,Commuter,157225
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1703031
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Departure,International,Charter,280
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Departure,International,Commuter,1501
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Departure,International,Scheduled Carriers,724410
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Arrival,Domestic,Charter,1036
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Arrival,Domestic,Commuter,157832
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1565931
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Arrival,International,Charter,229
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Arrival,International,Commuter,4379
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Arrival,International,Scheduled Carriers,718536
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Departure,Domestic,Charter,2909
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Departure,Domestic,Commuter,158800
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1519278
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Departure,International,Charter,345
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Departure,International,Commuter,4707
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Departure,International,Scheduled Carriers,671834
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Arrival,Domestic,Charter,359
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Arrival,Domestic,Commuter,151408
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1425145
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Arrival,International,Charter,581
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Arrival,International,Commuter,3871
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Arrival,International,Scheduled Carriers,577394
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Departure,Domestic,Charter,294
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Departure,Domestic,Commuter,146753
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1408990
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Departure,International,Charter,577
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Departure,International,Commuter,4025
