Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Garcetti Series 2013-Present | City of Los Angeles,175,159,0:03:03,73,32.43%,52.57%
City Directory - The City of Los Angeles,174,145,0:02:57,47,76.6%,63.79%
"Verify, Modify, or Add a New Address | City of Los Angeles",174,150,0:02:01,79,78.48%,57.47%
311 Service Feedback Form | City of Los Angeles,171,135,0:00:46,6,33.33%,16.96%
"Arts, Parks, Health, Aging and River Committee Meeting | City of Los Angeles",171,128,0:01:57,5,0%,31.58%
Electric | City of Los Angeles,167,137,0:01:11,4,75%,28.74%
Nuisance or Dangerous Animal Services | City of Los Angeles,167,120,0:00:53,6,42.86%,10.78%
Fire Permits General Information | City of Los Angeles,166,143,0:03:14,127,42.97%,64.46%
Property Activity Report - The City of Los Angeles,166,140,0:01:52,138,78.99%,76.51%
Bee Control | City of Los Angeles,165,147,0:05:38,133,72.93%,83.03%
Police Stations (Front Desk / Public Counter - 25 locations) | City of Los Angeles,162,148,0:04:43,137,76.64%,83.95%
Council Directory - The City of Los Angeles,160,146,0:03:56,74,85.14%,81.88%
Street Tree Planting Program | City of Los Angeles,160,146,0:04:20,103,59.05%,75%
Subscribe To Receive Notification | City of Los Angeles,160,133,0:00:31,10,77.78%,21.88%
Animal Service Centers | City of Los Angeles,159,147,0:05:24,103,67.65%,74.84%
To Report Section 8 Fraud | City of Los Angeles,157,133,0:05:08,128,62.02%,79.62%
U. S. Customs - LAX | City of Los Angeles,157,144,0:02:25,143,64.14%,84.08%
Volunteer & internship opportunities with HCIDLA | City of Los Angeles,157,135,0:01:51,56,56.36%,50.32%
"Innovation, Technology and General Services Committee Meeting | City of Los Angeles",156,95,0:01:10,6,16.67%,23.72%
Office of the City Administrative Officer Personnel Information | City of Los Angeles,156,136,0:01:03,6,66.67%,25.64%
View Public Infrastructure Maps | City of Los Angeles,155,136,0:03:14,48,77.08%,61.94%
City Hall Docents | City of Los Angeles,154,132,0:02:20,74,81.08%,64.94%
Maintenance of Public Street Landscape | City of Los Angeles,154,137,0:02:55,32,48.48%,42.21%
City Hall & Neighborhood City Halls | City of Los Angeles,152,131,0:01:19,11,70%,34.87%
Map Gallery | City of Los Angeles,150,127,0:02:29,48,29.41%,50%
Home Repairs & Rehabilitation | City of Los Angeles,148,118,0:01:07,3,100%,16.89%
Preferential Parking Districts | City of Los Angeles,148,127,0:03:19,91,64.52%,64.19%
Water | City of Los Angeles,147,114,0:01:54,9,66.67%,29.93%
"Stray, Sick or Injured Animal | City of Los Angeles",146,131,0:03:32,121,80.99%,82.19%
Energy and the Environment Committee Meeting | City of Los Angeles,143,95,0:00:57,0,0%,21.68%
Low Income Home Energy Assistance Program (LIHEAP) | City of Los Angeles,143,122,0:04:32,120,50.41%,79.72%
Workers' Compensation - Civilian Claims | City of Los Angeles,143,124,0:02:44,112,75%,74.13%
Zoo Human Resources | City of Los Angeles,142,133,0:01:39,35,36.11%,40.85%
Fire Hydrants | City of Los Angeles,141,127,0:04:03,125,64.57%,81.56%
Internship Opportunities in the Mayor's Office | City of Los Angeles,138,125,0:03:46,67,55.22%,63.77%
Council District 3 - The City of Los Angeles,137,99,0:02:08,90,58.89%,54.01%
Housing Authority of City of Los Angeles (HACLA) - Comments/Complaints | City of Los Angeles,137,124,0:01:26,110,65.45%,72.99%
3-1-1 Call Center | City of Los Angeles,135,126,0:02:48,37,70.27%,51.85%
City Planning Public Counter - Valley | City of Los Angeles,134,105,0:02:52,82,59.04%,65.67%
Consumer Advocacy | City of Los Angeles,133,109,0:00:42,5,80%,11.28%
How Many Dogs And Cats Can I Have At My Home - The City of Los Angeles,133,116,0:01:47,22,90.91%,52.63%
"Acceptance of Subpoenas, Fire Reports, and Arson Information | City of Los Angeles",132,111,0:02:49,63,70.77%,61.36%
Inspection of Elevators | City of Los Angeles,131,105,0:11:08,98,43.43%,69.47%
Laws & Rules | City of Los Angeles,130,94,0:00:53,7,57.14%,23.85%
Recycling Services | City of Los Angeles,129,100,0:01:07,5,80%,28.68%
Street Signs & Signals | City of Los Angeles,128,108,0:00:28,9,70%,19.53%
Housing Authority Employment Opportunities | City of Los Angeles,127,115,0:02:47,73,30.14%,62.2%
"Trade, Commerce and Tourism Committee Special Meeting | City of Los Angeles",125,84,0:01:12,7,14.29%,20%
Summer Youth Employment Program | City of Los Angeles,124,105,0:03:47,75,37.33%,62.1%
City Planning Public Counter - Downtown | City of Los Angeles,122,88,0:02:40,60,60%,49.18%
Copy of Property and Land Ownership Deeds | City of Los Angeles,121,88,0:02:36,81,62.96%,58.68%
Spay/Neuter | City of Los Angeles,121,105,0:09:35,102,61.54%,81.82%
Road & Traffic Information | City of Los Angeles,120,104,0:01:12,10,70%,33.33%
Enforcement of Street Use Rules | City of Los Angeles,118,106,0:03:09,8,55.56%,44.92%
LA's BEST After School Enrichment Program | City of Los Angeles,118,109,0:05:21,103,66.02%,83.05%
