Street,Cross Street,Council District,NE Quantity Constructed,NE Date Completed,NW Quantity Constructed,NW Date Completed,SE Quantity Constructed,SE Date Completed,SW Quantity Constructed,SW Date Completed,Mid-Block or Alley Quantity Constructed,Mid-Block or Alley Date Completed,From Lat-Lon,To Lat-Lon
20TH ST,HIGHLAND DR,10,0,,1,11/08/2013,0,,1,11/08/2013,0,,"(34.039056510000002, -118.3463508)","(34.039385230000001, -118.34799184000001)"
AVENUE 43,CARLOTA BL,1,0,,0,,0,,1,11/26/2013,0,,"(34.09452022, -118.20848794)","(34.093452509999999, -118.20660789999999)"
AVENUE 41,BERENICE AV,1,1,11/22/2013,1,11/22/2013,0,,1,11/22/2013,0,,"(34.090268690000002, -118.20532931)","(34.089823959999997, -118.20447609999999)"
MANITOBA ST,EARLDOM AV,11,1,10/09/2013,0,,1,10/09/2013,0,,0,,,
GRIFFIN AV,MONTECITO DR,1,0,,1,11/19/2013,0,,1,11/19/2013,0,,"(34.091990869999997, -118.20403414)","(34.095274719999999, -118.20183302)"
PICO BL,MASSELIN AV,10,1,11/22/2013,1,11/22/2013,0,,0,,0,,"(34.049212709999999, -118.35832037)","(34.049404340000002, -118.35886198999999)"
PICO BL,STANLEY AV,10,1,11/25/2013,0,,0,,0,,0,,"(34.050238280000002, -118.36121921)","(34.05058872, -118.36220983)"
CHASE ST,KENTLAND AV,12,0,,0,,1,11/26/2013,1,11/26/2013,0,,"(34.222722679999997, -118.61801706)","(34.22293801, -118.61921916999999)"
PICO BL,OGDEN DR,10,1,11/26/2013,0,,0,,0,,0,,"(34.051084860000003, -118.36449451999999)","(34.051281119999999, -118.36549029)"
LONGWOOD AV,ST ELMO DR,10,1,11/19/2013,1,11/13/2013,1,11/19/2013,1,11/13/2013,0,,"(34.043683309999999, -118.34392131)","(34.042788389999998, -118.34426347)"
LONGWOOD AV,PICKFORD ST,10,0,,1,11/14/2013,0,,1,11/14/2013,0,,"(34.041898740000001, -118.3446036)","(34.040945550000004, -118.34496803)"
VINEYARD AV,LOMITA ST,10,1,11/20/2013,1,11/22/2013,1,11/20/2013,1,11/22/2013,0,,"(34.045828720000003, -118.33744227)","(34.044941710000003, -118.33779414)"
89TH ST,ST ANDREWS PL,8,1,12/03/2013,1,12/09/2013,1,12/05/2013,1,12/05/2013,0,,"(33.956337980000001, -118.31118815000001)","(33.956339229999998, -118.31227668)"
CLELAND AV,CYNTHIA AV,1,0,,0,,1,12/09/2013,0,,0,,"(34.111215700000002, -118.21595258000001)","(34.11147193, -118.21561818000001)"
WATERVIEW ST,WHITLOCK AV,11,1,09/12/2013,1,09/12/2013,1,09/12/2013,1,09/12/2013,0,,"(33.95297162, -118.4471679)","(33.952469710000003, -118.44558960000001)"
WHITLOCK AV,NAPOLEON ST,11,1,09/17/2013,1,09/17/2013,0,,0,,0,,,
WATERVIEW ST,RINDGE AV,11,1,09/19/2013,1,09/19/2013,0,,1,09/19/2013,0,,"(33.952469710000003, -118.44558960000001)","(33.951972740000002, -118.44412641)"
WATERVIEW ST,EARLDOM AV,11,1,09/23/2013,0,,0,,0,,0,,"(33.951897389999999, -118.44264868)","(33.95208057, -118.44201750000001)"
TRASK AV,EARLDOM AV,11,1,09/23/2013,0,,0,,0,,0,,,
WATERVIEW ST,TRASK AV,11,0,,1,09/23/2013,0,,0,,0,,"(33.951972740000002, -118.44412641)","(33.951897389999999, -118.44264868)"
REDLANDS ST,TRASK AV,11,1,09/26/2013,1,09/27/2013,1,09/26/2013,1,09/26/2013,0,,"(33.953250509999997, -118.44511987)","(33.953613019999999, -118.44410307)"
REDLANDS ST,WHITLOCK AV,11,0,,0,,1,09/27/2013,0,,0,,"(33.953981429999999, -118.44697490999999)","(33.953326169999997, -118.44606014999999)"
RINDGE AV,SUNRIDGE ST,11,1,10/02/2013,0,,1,10/02/2013,0,,0,,"(33.956383940000002, -118.44654549000001)","(33.95593178, -118.44633749)"
RINDGE AV,REES ST,11,0,,0,,1,10/02/2013,0,,0,,"(33.956931939999997, -118.44728013)","(33.956383940000002, -118.44654549000001)"
REDLANDS ST,RINDGE AV,11,0,,0,,1,10/04/2013,1,10/04/2013,0,,"(33.953326169999997, -118.44606014999999)","(33.953396939999998, -118.44560863)"
REDLANDS ST,VISTA DEL MAR LN,11,0,,0,,1,10/04/2013,0,,0,,,
80TH ST,KENYON AV,11,1,10/17/2013,1,10/16/2013,1,10/17/2013,1,10/16/2013,0,,"(33.966667700000002, -118.41093222000001)","(33.966273999999999, -118.41178076999999)"
80TH ST,STEWART AV,11,1,10/22/2013,1,10/18/2013,1,10/22/2013,1,10/18/2013,0,,"(33.966906790000003, -118.40999355)","(33.966667700000002, -118.41093222000001)"
WESTLAWN AV,80TH ST,11,1,10/24/2013,1,10/23/2013,1,10/24/2013,1,10/23/2013,0,,"(33.967093429999998, -118.40902509999999)","(33.963446609999998, -118.40756614)"
80TH ST,DUNBARTON AV,11,1,10/30/2013,1,10/25/2013,1,10/30/2013,1,10/25/2013,0,,"(33.967302709999998, -118.40808738)","(33.967093429999998, -118.40902509999999)"
80TH ST,AGNEW AV,11,1,11/01/2013,1,10/31/2013,1,11/01/2013,1,10/31/2013,0,,"(33.967578000000003, -118.40723244)","(33.967302709999998, -118.40808738)"
80TH ST,DENROCK AV,11,1,11/06/2013,1,11/05/2013,1,11/06/2013,1,11/05/2013,0,,"(33.9681803, -118.40657727)","(33.967578000000003, -118.40723244)"
GRAMERCY PL,89TH ST,8,1,12/13/2013,1,12/13/2013,0,,0,,0,,"(33.956340480000001, -118.31337345999999)","(33.954526899999998, -118.31337322)"
PICO BL,OGDEN DR,10,0,,1,12/04/2013,1,12/06/2013,1,12/05/2013,0,,"(34.051084860000003, -118.36449451999999)","(34.051281119999999, -118.36549029)"
WEST BL,18TH ST,10,0,,1,12/06/2013,0,,1,12/06/2013,0,,"(34.04075126, -118.33686667000001)","(34.039845589999999, -118.33737376000001)"
WEST BL,17TH ST,10,0,,1,11/25/2013,0,,1,11/25/2013,0,,"(34.043412830000001, -118.33581033)","(34.042525779999998, -118.33616240000001)"
WEST BL,LOMITA ST,10,0,,1,12/10/2013,0,,1,12/10/2013,0,,"(34.045187159999998, -118.33510608)","(34.044300120000003, -118.33545816)"
PICO BL,COCHRAN AV,10,0,,0,,1,12/16/2013,0,,0,,"(34.048232779999999, -118.35268013)","(34.04831111, -118.35374491)"
PICO BL,ELLSMERE AV,10,0,,0,,1,12/12/2013,1,12/11/2013,0,,"(34.050181309999999, -118.36105818)","(34.050238280000002, -118.36121921)"
PARTHENIA ST,JELLICO AV,12,0,,0,,1,12/12/2013,1,12/12/2013,0,,"(34.228601079999997, -118.51866588)","(34.22860979, -118.52006864000001)"
WILBUR AV,LANARK ST,12,0,,1,12/11/2013,0,,1,12/11/2013,0,,"(34.21744751, -118.54480855)","(34.218070040000001, -118.54480962)"
89TH ST,RUTHELEN ST,8,1,12/11/2013,1,12/11/2013,1,12/10/2013,1,12/10/2013,0,,"(33.956339229999998, -118.31227668)","(33.95633986, -118.3128287)"
WEST BL,16TH PL,10,1,11/26/2013,1,12/04/2013,1,11/26/2013,1,12/04/2013,0,,"(34.046061850000001, -118.33475881)","(34.045187159999998, -118.33510608)"
