Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total
AVE 26 ,AT,BARRANCA ST,MAN,EV,March 17 2011,THU,,,2214,1661,3875
AVE 26 ,AT,JEFFRIES AV,AUTO,EV,April 06 2011,WED,,,2868,1750,4618
AVE 35,E/O,FLETCHER DR,AUTO,CR,January 23 2014,THU,106,121,0,0,227
AVE 36,W/O,EAGLE ROCK BL,AUTO,CR,January 21 2014,TUE,8424,5889,0,0,14313
AVE 43 / MALL DRIVEWAY,AT,FIGUEROA ST,MAN,CR,November 05 2013,TUE,3365,301,0,0,3666
AVE 55,AT,FIGUEROA ST,AUT,CR,April 02 2013,TUE,0,0,1284,953,2237
AVE 55,AT,FIGUEROA ST,AUT,CR,April 04 2013,THU,0,0,1273,965,2238
AVE 55,AT,FIGUEROA ST,AUT,CR,April 03 2013,WED,0,0,1381,1047,2428
AVE 60,AT,ECHO ST,AUTO,EV,October 26 2011,WED,,,257,557,814
AVE 60,AT,ECHO ST,AUTO,HW,February 02 2011,WED,2193,2171,,,4364
AVE 60,AT,ECHO ST,MAN,CR,February 19 2013,TUE,0,0,6458,6794,13252
AVE 63,AT,YORK BL,MAN,CR,July 11 2013,THU,0,0,181,663,844
AVE 64,AT,ELDER ST,AUTO,CR,August 07 2013,WED,0,0,4945,4321,9266
AVE 64,AT,RUBY ST,AUTO,CR,August 12 2013,MON,0,0,5612,5213,10825
AVE 64,AT,GARVANZA AV,AUTO,CR,August 12 2013,MON,0,0,6218,5389,11607
AVE 64,AT,YORK BL,MAN,CR,April 03 2014,THU,0,0,5452,7292,12744
AVE 64 ,AT,ELGIN ST,AUTO,CR,August 07 20132,WED,0,0,5666,5461,11127
AVE OF THE STARS,AT,OLYMPIC BL E/B RAMPS FOX PLAZA,AUTO,HW,March 16 2011,WED,2631,3121,,,5752
AVE OF THE STARS,AT,OLYMPIC BL E/B RAMPS/FOX PLAZA,MAN,WR,March 22 2012,THU,0,0,2919,4188,7107
AVENUE 26,AT,HUMBOLDT ST,MAN,WR,January 28 2013,TUE,0,0,0,193,193
AVENUE 60,AT,ECHO ST,AUTO,CR,June 01 2011,WED,,,220,215,435
AVENUE OF THE STARS,AT,CONSTELLATION BL,MAN,CR,June 08 2011,WED,8187,13804,,,21991
AVERIL AV ,N/O,15 th ST,AUTO,SR,June 13 2013,THU,0,0,126,189,315
AVIATION BL,AT,IMPERIAL HWY,AUTO,EV,January 19 2011,WED,,,19368,14180,33548
BAKER ST,AT,N SPRING ST,MAN,CR,December 20 2012,THU,0,425,0,0,425
BAKER ST,AT,N SPRING ST,AUTO,EV,February 17 2011,FRI,1368,1727,,,3095
BAKER ST,AT,N SPRING ST,AUTO,EV,January 22 2013,TUE,,0,14796,13913,28709
BALBOA BL,AT,DEVONSHIRE ST,AUTO,EV,May 06 2011,FRI,996,1340,,,2336
BALBOA BL,AT,ADDISON ST,MAN,WV,August 29 2013,THU,0,0,10500,13708,24208
BANDERA ST,AT,97 th ST,AUTO,SR,June 20 2013,THU,0,0,534,844,1378
BANNING BL ,AT ,SANDISON ST,AUTO,SR,February 04 2014,TUE,0,0,213,434,647
BANNING ST,W/O,CENTER ST,AUTO,EV,May 06 2011,FRI,1162,1589,,,2751
BARBARA ST,AT,37 th ST,AUTO,SR,June 28 2013,FRI,,,408,685,1093
BARBARA ST,AT,34 th ST,AUTO,SR,June 30 2013,SUN,0,0,485,610,1095
BARBARA ST,AT,34 th ST,AUTO,SR,June 28 2013,FRI,0,0,609,526,1135
