Year,Period,Area,Unemployment Rate,Labor Force,Employment,Unemployment,Adjusted,Preliminary
1994,Jun,Los Angeles County,9.6%,4278900,3867600,411300,Not Adj,Not Prelim
1994,Jul,California,9.1%,15389300,13995900,1393500,Not Adj,Not Prelim
1994,Jul,Los Angeles County,10.1%,4327700,3889200,438500,Not Adj,Not Prelim
1994,Aug,California,8.5%,15382700,14073400,1309400,Not Adj,Not Prelim
1994,Aug,Los Angeles County,9.6%,4316000,3899800,416200,Not Adj,Not Prelim
1994,Sep,California,8.1%,15255500,14023300,1232300,Not Adj,Not Prelim
1994,Sep,Los Angeles County,8.9%,4306700,3923500,383200,Not Adj,Not Prelim
1994,Oct,California,7.8%,15317300,14116600,1200700,Not Adj,Not Prelim
1994,Oct,Los Angeles County,8.4%,4328100,3963900,364200,Not Adj,Not Prelim
1994,Nov,California,7.7%,15254900,14084900,1170000,Not Adj,Not Prelim
1994,Nov,Los Angeles County,7.9%,4307200,3965400,341800,Not Adj,Not Prelim
1994,Dec,California,7.3%,15180600,14075100,1105600,Not Adj,Not Prelim
1994,Dec,Los Angeles County,7.5%,4283000,3961300,321700,Not Adj,Not Prelim
1993,Jan,California,10.4%,15217200,13634300,1582900,Not Adj,Not Prelim
1993,Jan,Los Angeles County,10.7%,4367200,3898000,469200,Not Adj,Not Prelim
1993,Feb,California,10.4%,15268800,13679000,1589800,Not Adj,Not Prelim
1993,Feb,Los Angeles County,10.8%,4400300,3926000,474400,Not Adj,Not Prelim
1993,Mar,California,10%,15219400,13696900,1522500,Not Adj,Not Prelim
1993,Mar,Los Angeles County,10.3%,4381900,3928700,453200,Not Adj,Not Prelim
1993,Apr,California,9.4%,15121600,13698100,1423400,Not Adj,Not Prelim
1993,Apr,Los Angeles County,9.9%,4337600,3909600,428000,Not Adj,Not Prelim
1993,May,California,9.300000000000001%,15211700,13803000,1408600,Not Adj,Not Prelim
1993,May,Los Angeles County,9.699999999999999%,4337800,3915500,422300,Not Adj,Not Prelim
1993,Jun,California,9.6%,15331500,13853700,1477800,Not Adj,Not Prelim
1993,Jun,Los Angeles County,10%,4340900,3906000,434900,Not Adj,Not Prelim
1993,Jul,California,10%,15468100,13926000,1542100,Not Adj,Not Prelim
1993,Jul,Los Angeles County,10.4%,4391600,3932800,458800,Not Adj,Not Prelim
1993,Aug,California,9.300000000000001%,15399000,13971600,1427400,Not Adj,Not Prelim
1993,Aug,Los Angeles County,9.800000000000001%,4358700,3929600,429100,Not Adj,Not Prelim
1993,Sep,California,9.199999999999999%,15229400,13833300,1396200,Not Adj,Not Prelim
1993,Sep,Los Angeles County,9.800000000000001%,4323700,3900300,423400,Not Adj,Not Prelim
1993,Oct,California,9.199999999999999%,15282100,13869100,1413000,Not Adj,Not Prelim
1993,Oct,Los Angeles County,9.800000000000001%,4304000,3881400,422600,Not Adj,Not Prelim
1993,Nov,California,9%,15228100,13856900,1371200,Not Adj,Not Prelim
1993,Nov,Los Angeles County,9.4%,4283100,3879600,403600,Not Adj,Not Prelim
1993,Dec,California,8.699999999999999%,15197600,13877700,1319900,Not Adj,Not Prelim
1993,Dec,Los Angeles County,9.1%,4282800,3895000,387800,Not Adj,Not Prelim
1992,Jan,California,9.199999999999999%,15143700,13755000,1388800,Not Adj,Not Prelim
1992,Jan,Los Angeles County,9.4%,4449200,4031900,417300,Not Adj,Not Prelim
1992,Feb,California,9.5%,15205800,13756300,1449500,Not Adj,Not Prelim
1992,Feb,Los Angeles County,9.6%,4460500,4031500,429000,Not Adj,Not Prelim
1992,Mar,California,9.199999999999999%,15215800,13811300,1404600,Not Adj,Not Prelim
1992,Mar,Los Angeles County,9.300000000000001%,4432200,4020300,411900,Not Adj,Not Prelim
1992,Apr,California,8.6%,15161500,13852200,1309300,Not Adj,Not Prelim
1992,Apr,Los Angeles County,8.699999999999999%,4411600,4026500,385000,Not Adj,Not Prelim
1992,May,California,8.9%,15230700,13878700,1352100,Not Adj,Not Prelim
1992,May,Los Angeles County,9.5%,4420900,4000500,420400,Not Adj,Not Prelim
1992,Jun,California,9.6%,15421000,13946400,1474600,Not Adj,Not Prelim
1992,Jun,Los Angeles County,10.199999999999999%,4452500,3997100,455300,Not Adj,Not Prelim
1992,Jul,California,9.800000000000001%,15552100,14020800,1531200,Not Adj,Not Prelim
1992,Jul,Los Angeles County,10.9%,4500300,4011800,488500,Not Adj,Not Prelim
1992,Aug,California,9.5%,15493400,14026300,1467100,Not Adj,Not Prelim
