APC,CPA,Geographic Area,Case Type,Case Number,Date Filed,Date Completed                                                                                                                                                                                                                                                 
SV         , Encino - Tarzana                                                            , SOUTH VALLEY                                                                                         , ENV                                                          , ENV-2013-2782-CE                                             , 06-Sep-2013 ,                                                                                                                                                                       
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , ENV                                                          , ENV-2013-864-MND                                             , 26-Mar-2013 , 19-Jun-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , ENV                                                          , ENV-2013-935-MND                                             , 01-Apr-2013 , 18-Dec-2013                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , ENV                                                          , ENV-2013-1131-CE                                             , 16-Apr-2013 ,                                                                                                                                                                       
NV         , Chatsworth - Porter Ranch                                                   , NORTH VALLEY                                                                                         , ENV                                                          , ENV-2013-3662-MND                                            , 14-Nov-2013 , 12-Mar-2014                                                                                                                                                           
C          , Hollywood                                                                   , IN TRANSITION                                                                                        , ENV                                                          , ENV-2013-1299-CE                                             , 01-May-2013 , 01-Jul-2013                                                                                                                                                           
NV         , Mission Hills - Panorama City - North Hills                                 , NORTH VALLEY                                                                                         , ENV                                                          , ENV-2013-3024-ND                                             , 26-Sep-2013 , 06-Nov-2013                                                                                                                                                           
C          , Hollywood                                                                   ,                                                                                                      , ENV                                                          , ENV-2006-3872-MND-REC3                                       , 10-May-2013 ,                                                                                                                                                                       
SV         , Canoga Park - Winnetka - Woodland Hills - West Hills                        , SOUTH VALLEY                                                                                         , ENV                                                          , ENV-2013-3513-CE                                             , 04-Nov-2013 ,                                                                                                                                                                       
NV         , Chatsworth - Porter Ranch                                                   , NORTH VALLEY                                                                                         , ENV                                                          , ENV-2013-3613-CE                                             , 12-Nov-2013 ,                                                                                                                                                                       
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , ENV                                                          , ENV-2013-3623-CE                                             , 12-Nov-2013 ,                                                                                                                                                                       
W          , Brentwood - Pacific Palisades                                               , WEST                                                                                                 , ENV                                                          , ENV-2013-35-CE                                               , 04-Jan-2013 , 07-Feb-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , ENV                                                          , ENV-2013-215-CE                                              , 25-Jan-2013 , 20-Mar-2013                                                                                                                                                           
C          , Central City North                                                          , DOWNTOWN / WESTLAKE                                                                                  , ENV                                                          , ENV-2013-1546-CE                                             , 29-May-2013 ,                                                                                                                                                                       
S          , South Los Angeles                                                           , SOUTH                                                                                                , ENV                                                          , ENV-2013-3658-MND                                            , 14-Nov-2013 , 16-Apr-2014                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , ENV                                                          , ENV-2013-3705-MND                                            , 19-Nov-2013 , 14-May-2014                                                                                                                                                           
W          , Brentwood - Pacific Palisades                                               , WEST                                                                                                 , ENV                                                          , ENV-2013-656-CE                                              , 11-Mar-2013 ,                                                                                                                                                                       
SV         , Encino - Tarzana                                                            , SOUTH VALLEY                                                                                         , ENV                                                          , ENV-2013-1144-CE                                             , 17-Apr-2013 ,                                                                                                                                                                       
S          , West Adams - Baldwin Hills - Leimert                                        , SOUTH                                                                                                , ENV                                                          , ENV-2007-4662-MND-REC2                                       , 20-Sep-2013 ,                                                                                                                                                                       
W          , Bel Air - Beverly Crest                                                     , WEST                                                                                                 , ENV                                                          , ENV-2013-3043-CE                                             , 27-Sep-2013 , 21-Jan-2014                                                                                                                                                           
SV         , Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass                    , SOUTH VALLEY                                                                                         , ENV                                                          , ENV-2013-3674-CE                                             , 15-Nov-2013 ,                                                                                                                                                                       
NV         , Chatsworth - Porter Ranch                                                   , NORTH VALLEY                                                                                         , ENV                                                          , ENV-2013-2996-CE                                             , 25-Sep-2013 , 12-Dec-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , ENV                                                          , ENV-2013-2499-MND                                            , 14-Aug-2013 , 23-Dec-2013                                                                                                                                                           
W          , Brentwood - Pacific Palisades                                               , WEST                                                                                                 , ENV                                                          , ENV-2013-45-CE                                               , 07-Jan-2013 ,                                                                                                                                                                       
SV         , Van Nuys - North Sherman Oaks                                               , UNKNOWN                                                                                              , ENV                                                          , ENV-2012-1012-MND-REC1                                       , 01-Feb-2013 , 13-Mar-2013                                                                                                                                                           
E          , Silver Lake - Echo Park - Elysian Valley                                    , EAST                                                                                                 , ENV                                                          , ENV-2013-2706-CE                                             , 30-Aug-2013 ,                                                                                                                                                                       
S          , South Los Angeles                                                           , SOUTH                                                                                                , ENV                                                          , ENV-2013-353-CE                                              , 08-Feb-2013 ,                                                                                                                                                                       
