DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,155805
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Arrival,International,Scheduled Carriers,306
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Departure,Domestic,Charter,98
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Departure,Domestic,Commuter,9811
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Departure,Domestic,Scheduled Carriers,155314
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Departure,International,Scheduled Carriers,311
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Arrival,Domestic,Charter,280
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Arrival,Domestic,Commuter,11401
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,188159
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Arrival,International,Scheduled Carriers,212
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Departure,Domestic,Charter,216
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Departure,Domestic,Commuter,12014
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Departure,Domestic,Scheduled Carriers,186307
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Departure,International,Scheduled Carriers,63
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Arrival,Domestic,Charter,100
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Arrival,Domestic,Commuter,10092
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,193031
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Departure,Domestic,Charter,1033
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Departure,Domestic,Commuter,10943
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Departure,Domestic,Scheduled Carriers,197534
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Departure,International,Charter,88
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Arrival,Domestic,Charter,1503
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Arrival,Domestic,Commuter,10789
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,198615
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Departure,Domestic,Charter,496
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Departure,Domestic,Commuter,11510
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Departure,Domestic,Scheduled Carriers,197941
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Arrival,Domestic,Charter,975
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Arrival,Domestic,Commuter,13106
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,199380
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Departure,Domestic,Charter,971
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Departure,Domestic,Commuter,13700
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Departure,Domestic,Scheduled Carriers,204747
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Arrival,Domestic,Charter,1031
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Arrival,Domestic,Commuter,15325
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,202052
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Departure,Domestic,Charter,269
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Departure,Domestic,Commuter,16015
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Departure,Domestic,Scheduled Carriers,203793
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Arrival,Domestic,Charter,740
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Arrival,Domestic,Commuter,14278
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,199228
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Departure,Domestic,Charter,291
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Departure,Domestic,Commuter,14751
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Departure,Domestic,Scheduled Carriers,197453
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Arrival,Domestic,Charter,185
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Arrival,Domestic,Commuter,13039
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,177244
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Departure,Domestic,Commuter,13434
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Departure,Domestic,Scheduled Carriers,175956
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Arrival,Domestic,Charter,129
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Arrival,Domestic,Commuter,12351
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,193684
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Arrival,International,Charter,45
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Departure,Domestic,Charter,503
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Departure,Domestic,Commuter,12349
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Departure,Domestic,Scheduled Carriers,192056
05/01/2014 12:00:00 AM,11/01/2010 12:00:00 AM,Arrival,Domestic,Charter,2296
