DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Departure,International,Freight,37197
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Departure,International,Mail,1082
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Arrival,Domestic,Freight,33369
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Arrival,Domestic,Mail,913
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Arrival,International,Freight,52023
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Arrival,International,Mail,706
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Departure,Domestic,Freight,36538
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Departure,Domestic,Mail,1425
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Departure,International,Freight,38888
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Departure,International,Mail,1075
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Arrival,Domestic,Freight,36383
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Arrival,Domestic,Mail,912
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Arrival,International,Freight,56310
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Arrival,International,Mail,743
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Departure,Domestic,Freight,38348
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Departure,Domestic,Mail,1389
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Departure,International,Freight,39543
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Departure,International,Mail,1115
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Arrival,Domestic,Freight,35384
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Arrival,Domestic,Mail,1647
